ID,churn,join_time,vip,product,expenditure,call,traffic,state,IMEI
1,1,2014/8/19,0,99114783,0.0,0.0,0.0,0.0,
2,0,2014/6/16,0,99002147,42.843,35.91,254.06,0.0,35405402.0
3,0,2014/8/2,0,99002138,125.198,309.73,162.56,0.0,35246506.0
4,0,2012/9/13,0,99005934,103.546,410.64,119.5,0.0,86399002.0
5,0,2012/12/20,0,99005044,0.0,0.0,0.0,1.0,
6,1,2013/7/1,0,99002147,0.0,0.0,0.0,6.0,
7,0,2012/5/28,0,99003577,44.302,318.95,2.02,0.0,
8,1,2014/8/16,0,99112822,0.0,0.0,0.0,0.0,
9,0,2013/8/17,0,99003577,42.356,2.0,33.5,0.0,86205702.0
10,0,2011/9/20,0,3740,34.856,461.83,0.0,0.0,
11,1,2013/9/18,0,99002147,0.0,0.0,0.0,6.0,
12,0,2014/5/17,0,99002147,43.775,23.8,327.86,0.0,86881401.0
13,0,2012/10/23,0,99005044,88.821,260.04,214.46,0.0,86990401.0
14,1,2013/8/17,0,99002147,0.0,0.0,0.0,6.0,
15,1,2013/6/30,0,99002147,0.0,0.0,0.0,6.0,
16,0,2014/2/17,0,99106763,4.189,0.0,0.0,7.0,
17,0,2014/4/7,0,99114783,93.905,338.45,243.43,1.0,
18,0,2014/8/11,0,25101,13.955,8.13,0.0,1.0,
19,1,2013/8/13,0,99003577,0.0,0.0,0.0,6.0,
20,0,2014/7/1,0,99002147,63.271,71.05,245.53,5.0,
21,0,2011/12/16,0,99003576,543.662,1573.2,380.85,0.0,35818005.0
22,0,2013/5/22,0,99005052,135.069,651.18,326.97,0.0,1347300.0
23,0,2014/2/5,0,99002306,108.216,282.57,496.34,0.0,35869905.0
24,1,2013/8/6,0,99005799,0.0,0.0,0.0,6.0,
25,0,2014/7/20,0,25101,9.434,118.28,0.0,1.0,
26,0,2014/9/16,0,99114783,38.128,0.0,324.39,1.0,
27,0,2014/7/21,0,25101,39.067,475.97,170.75,1.0,
28,0,2014/7/30,0,99002138,61.76,94.79,195.33,0.0,35427106.0
29,0,2014/7/23,0,25101,9.434,167.38,145.54,1.0,
30,0,2007/6/3,0,3905,117.336,1195.43,119.63,0.0,86318402.0
31,0,2014/6/17,0,99002310,287.405,1253.25,690.92,0.0,35877705.0
32,1,2013/9/30,0,99003576,0.0,0.0,0.0,6.0,
33,0,2014/7/24,0,25101,0.0,0.0,0.0,7.0,
34,0,2012/7/14,0,99002147,62.01,122.98,117.23,0.0,1302400.0
35,0,2014/5/7,0,700001,0.245,0.0,0.0,0.0,
36,1,2014/3/1,0,25210,0.0,0.0,0.0,,
37,0,2014/8/20,0,99114782,16.676,190.64,75.58,1.0,
38,0,2010/1/12,0,3744,0.0,0.0,0.0,5.0,
39,0,2014/9/9,0,99112822,28.944,84.47,535.8,1.0,
40,0,2014/6/6,0,99005935,42.568,0.0,0.0,0.0,
41,0,2014/8/5,0,25101,9.906,1.07,0.0,1.0,
42,0,2014/9/3,0,25206,77.367,293.1,294.22,1.0,
43,1,2014/7/30,0,99114784,0.0,0.0,0.0,0.0,
44,0,2014/8/26,0,25101,9.434,0.0,0.0,1.0,
45,0,2012/3/9,0,99005044,91.474,173.3,177.73,0.0,1294300.0
46,0,2014/8/29,0,99003576,44.002,243.07,199.72,0.0,
47,0,2014/9/9,0,25101,0.0,0.0,0.0,3.0,
48,0,2010/6/3,1,99003576,118.375,877.87,410.29,0.0,35747404.0
49,1,2012/8/22,0,99002147,0.0,0.0,0.0,6.0,
50,0,2012/9/17,0,99003577,0.0,0.0,0.0,1.0,
51,0,2014/1/21,0,700001,0.245,0.0,0.0,0.0,
52,0,2010/8/8,0,3903,15.042,37.49,10.43,0.0,86558202.0
53,0,2014/10/15,0,99114782,14.805,0.0,0.0,1.0,
54,0,2011/4/21,0,3903,90.285,845.96,100.57,0.0,86575802.0
55,0,2008/7/28,0,3324,91.929,184.39,116.92,0.0,35990205.0
56,0,2014/10/24,0,99114784,18.868,1.63,3.46,1.0,
57,0,2013/5/16,0,99002138,69.087,451.63,319.75,0.0,86458301.0
58,0,2014/1/27,1,99002310,391.028,1242.58,2712.59,0.0,35876705.0
59,0,2014/1/26,0,99114784,45.18,189.18,517.99,1.0,
60,1,2014/1/14,0,99003576,0.0,0.0,0.0,6.0,
61,0,2014/10/29,0,99003577,0.379,1.05,0.06,0.0,
62,1,2011/10/28,0,99003576,0.0,0.0,0.0,6.0,
63,0,2014/7/1,0,25101,0.0,0.0,0.0,3.0,
64,0,2013/2/4,0,700000,2.83,0.0,14.54,0.0,
65,1,2011/12/20,0,99002147,0.0,0.0,0.0,,
66,0,2014/6/26,0,25101,0.0,0.0,0.01,3.0,
67,0,2014/7/5,0,25101,11.271,505.86,0.0,1.0,
68,1,2014/8/4,0,99114785,0.0,0.0,0.0,0.0,
69,0,2013/11/13,0,99112822,49.113,502.07,570.48,1.0,
70,0,2014/1/2,0,99114784,31.132,218.16,501.41,1.0,
71,0,2013/7/4,0,99106764,33.005,248.91,58.39,1.0,
72,0,2014/1/13,0,99003577,0.0,0.0,0.0,5.0,
73,0,2014/8/17,0,99114782,0.0,0.0,0.0,3.0,
74,0,2012/9/25,0,99005935,0.0,0.0,0.0,1.0,
75,1,2014/8/29,0,99112822,0.0,0.0,0.0,0.0,
76,0,2013/9/25,0,99005046,0.0,0.0,0.0,1.0,
77,0,2014/7/25,0,99005044,52.745,66.27,217.16,0.0,86522902.0
78,1,2014/7/27,0,99106763,0.0,0.0,0.0,0.0,
79,1,2013/10/19,0,99005044,0.0,0.0,0.0,6.0,
80,0,2014/10/10,0,99114783,46.217,424.55,12.67,1.0,
81,0,2014/8/21,0,25101,13.955,105.65,0.0,1.0,
82,0,2014/10/13,0,99114783,21.789,82.29,214.05,1.0,
83,0,2013/9/6,0,99002147,234.447,714.0,833.52,0.0,1314100.0
84,0,2012/1/4,0,3740,18.962,327.99,0.0,0.0,
85,0,2014/1/18,0,25206,16.032,53.7,118.46,1.0,
86,0,2014/5/29,0,99002144,266.668,1032.25,818.41,0.0,35755505.0
87,0,2013/8/18,0,99003577,42.104,0.0,0.0,0.0,
88,1,2014/1/15,0,99112823,0.0,0.0,0.0,6.0,
89,0,2014/1/12,0,99002138,61.915,111.43,193.71,0.0,86343702.0
90,0,2014/8/9,0,99114783,42.645,283.22,130.22,1.0,
91,0,2014/8/25,0,99112822,29.339,258.84,825.77,1.0,
92,0,2014/6/27,0,99003576,82.012,567.69,504.05,0.0,86282002.0
93,0,2011/3/28,0,99003576,95.747,170.2,230.8,0.0,86531702.0
94,0,2014/8/23,0,99114783,20.127,547.66,0.0,1.0,
95,1,2013/5/20,0,99003577,0.0,0.0,0.0,6.0,
96,0,2013/12/12,0,99003577,99.803,583.6,85.77,0.0,
97,0,2014/6/25,0,99005935,42.104,0.93,0.0,0.0,
98,0,2014/1/29,0,99114784,0.135,0.0,0.0,7.0,
99,0,2014/5/29,0,99116022,3.207,172.04,259.2,1.0,
100,0,2014/7/22,0,25101,0.0,0.0,0.0,3.0,
101,0,2011/4/26,0,99003577,87.549,403.29,16.81,0.0,1255000.0
102,0,2013/11/25,0,99112822,4.189,0.0,0.0,7.0,
103,1,2012/2/2,0,99003577,0.0,0.0,0.0,6.0,
104,0,2012/6/9,0,99003577,139.522,742.85,73.18,0.0,
105,0,2014/10/17,0,99003577,0.0,0.0,0.0,0.0,
106,0,2014/9/23,0,99002138,54.934,0.45,0.23,5.0,
107,0,2014/2/13,0,99114784,113.385,811.3,660.72,1.0,
108,0,2014/7/17,0,25101,49.188,394.12,53.97,1.0,
109,1,2013/8/10,0,99003577,0.0,0.0,0.0,6.0,
110,0,2013/11/7,0,99003576,88.294,597.96,500.4,0.0,
111,0,2014/8/17,0,25101,9.434,0.0,0.0,1.0,
112,0,2014/7/1,0,25101,0.0,0.0,0.0,7.0,
113,1,2012/5/7,0,99003576,0.0,0.0,0.0,6.0,
114,0,2013/4/19,0,99005934,0.0,0.0,0.0,1.0,
115,1,2014/8/23,0,99114784,0.0,0.0,0.0,0.0,
116,1,2013/8/18,0,99106763,0.0,0.0,0.0,6.0,
117,1,2009/9/17,0,99003576,0.0,0.0,0.0,6.0,
118,0,2014/8/5,0,25101,11.195,1.4,0.09,1.0,
119,1,2013/6/19,0,99106763,0.0,0.0,0.0,6.0,
120,1,2012/7/26,0,99003577,0.0,0.0,0.0,6.0,
121,0,2014/9/2,0,99112822,15.321,90.72,1292.42,1.0,
122,0,2012/3/2,0,25101,40.929,344.25,108.49,1.0,
123,0,2014/5/26,0,99003577,42.197,38.23,0.0,0.0,
124,0,2013/1/14,0,99005934,0.0,0.0,0.0,5.0,
125,1,2013/2/26,0,99106764,0.0,0.0,0.0,6.0,
126,0,2010/5/20,0,99003576,44.093,513.36,56.37,0.0,1347200.0
127,1,2013/8/10,0,99003577,0.0,0.0,0.0,6.0,
128,0,2014/7/24,0,99003576,55.526,41.68,66.84,5.0,
129,0,2014/10/27,0,99114783,7.541,0.0,0.0,1.0,
130,1,2014/8/28,0,99112822,0.0,0.0,0.0,0.0,
131,0,2014/3/30,0,99003576,60.375,0.0,0.0,0.0,
132,1,2014/9/28,0,99112822,0.0,0.0,0.0,0.0,
133,1,2014/7/31,0,99112822,0.0,0.0,0.0,0.0,
134,1,2013/7/22,0,99003576,0.0,0.0,0.0,6.0,
135,0,2012/6/1,0,99005935,0.0,0.0,0.0,1.0,
136,0,2014/4/2,0,99114784,36.313,193.87,62.86,1.0,
137,0,2011/8/25,0,99003576,88.01,131.08,1135.97,0.0,35425806.0
138,0,2014/2/12,0,99005935,56.3,415.63,62.48,0.0,86271002.0
139,0,2011/11/11,0,99003579,148.729,1215.7,213.98,0.0,
140,0,2013/10/17,0,99002147,0.0,0.0,0.0,1.0,
141,1,2011/12/10,0,99002138,0.0,0.0,0.0,6.0,
142,1,2014/8/4,0,99112822,0.0,0.0,0.0,0.0,
143,0,2013/10/26,0,99005044,29.815,4.81,41.61,0.0,35651705.0
144,0,2013/9/5,0,99104722,33.193,34.94,482.63,1.0,
145,0,2014/6/1,0,25101,0.135,0.0,0.0,7.0,
146,0,2014/5/31,0,99002138,226.629,410.7,1050.27,0.0,86398102.0
147,0,2013/10/30,0,99003577,0.0,0.0,0.0,5.0,
148,0,2014/2/13,0,99003576,160.446,1443.45,61.11,0.0,86207302.0
149,0,2014/6/7,0,99114782,0.0,0.0,0.0,3.0,
150,0,2012/9/12,0,99002147,55.053,66.28,309.68,0.0,86310101.0
151,0,2014/8/16,0,25101,56.708,32.59,189.27,1.0,
152,0,2014/6/8,0,25101,11.321,52.3,22.42,1.0,
153,0,2014/3/6,0,99112822,0.0,0.0,0.0,3.0,
154,0,2013/7/14,0,99005934,64.197,126.53,200.02,0.0,35521503.0
155,1,2013/8/10,0,99106763,0.0,0.0,0.0,6.0,
156,0,2014/6/8,0,99106763,0.135,0.0,0.0,7.0,
157,0,2014/7/29,0,99003576,60.604,22.0,0.0,0.0,35422706.0
158,1,2014/3/4,0,99114784,3.378,0.0,0.0,4.0,
159,0,2014/7/18,0,25206,0.0,0.0,0.0,3.0,
160,1,2014/8/31,0,99114783,0.0,0.0,0.0,0.0,
161,0,2013/9/28,0,99106763,75.954,186.01,160.46,1.0,
162,0,2013/12/24,0,99005934,29.313,0.0,0.0,5.0,
163,1,2014/1/22,0,99106763,1.748,0.0,0.0,4.0,
164,1,2014/8/23,0,99112822,0.0,0.0,0.0,0.0,
165,0,2014/1/21,0,3979,0.0,0.0,0.0,5.0,
166,0,2014/7/28,0,99116022,0.0,0.0,0.0,3.0,
167,0,2014/1/22,0,99003576,61.374,293.85,82.01,0.0,
168,0,2014/3/2,0,25128,77.142,328.57,316.14,1.0,
169,1,2014/8/13,0,99112822,0.0,0.0,0.0,0.0,
170,0,2011/11/8,0,99003576,62.755,555.31,29.43,0.0,86820100.0
171,0,2008/1/22,0,99005935,85.095,878.69,0.0,0.0,1313100.0
172,0,2014/8/25,0,25101,23.182,425.36,0.0,1.0,
173,1,2013/6/6,0,25210,0.0,0.0,0.0,,
174,0,2014/7/16,0,99005935,67.344,375.06,77.49,0.0,
