t,AR1_a,AR1_b,AR1_c,AR2,ARIMA_110,ARMA_11_a,ARMA_11_b,ARMA_22,MA1_a,MA1_b,MA2,EX1_a,EX1_b,EX1_c,EX1_d
1,-1.79203505,-0.230986478,-0.393871083,-0.87051513,-2.071533406,1.027111006,1.35688933,-5.104611941,1.951711345,-0.519668649,-0.095011603,0.640405024,0.699464017,0.389538816,0.188440985
2,-0.74379065,-0.708601533,0.286156561,-0.670040971,-2.189522532,-0.803688001,2.027195765,-5.997497087,0.407912652,0.03599891,-0.130953489,-0.75788485,-1.696353512,-1.056063033,0.405051078
3,0.644998642,0.22106519,0.345020857,0.148868329,-2.305249617,-0.759142762,2.457974036,-5.13426676,-1.375230737,-0.696156627,0.580822392,-0.891547141,2.257707538,-1.45456062,-1.281525994
4,-0.370990079,0.37696475,-1.087700701,-1.645484603,-2.39087613,0.019623351,3.265815863,-3.288555146,-0.556760461,-1.688884343,-0.20766446,0.924114613,-0.954395584,-2.593003944,0.771848769
5,-0.77919709,-0.450217152,-0.558108405,-0.129382592,-1.498415828,1.042506062,3.081810018,-0.504499655,1.539875188,-1.897714858,1.035279024,-0.015784122,1.491231641,-2.350178743,-0.067767469
6,-1.335491716,-0.715554883,-1.520168347,0.078636417,-0.141718451,1.564183138,1.489862336,-0.446119798,-0.594597719,1.377724509,1.147112649,1.165665073,-0.456483167,-1.794749432,0.070355759
7,0.254865426,0.432020278,0.641943814,1.809482812,1.266201296,3.245461665,0.052556678,-1.721509152,-2.225204188,0.895172572,1.335331637,-0.380236594,0.013056917,0.540955719,1.073901347
8,1.302462357,0.961911079,-0.305546395,0.623024125,3.029930516,1.792760782,-2.100896786,-4.348802926,-1.385676333,0.578111456,0.010203363,-0.422347747,0.69506998,2.45039756,-1.777162522
9,1.773557802,-0.31443507,-0.787507812,0.423458662,4.870304348,2.06533176,-3.791487754,-6.141321011,-0.197781134,1.249409528,0.485079578,1.049182128,0.744302005,2.107841226,1.87679743
10,0.015395301,-1.598287498,0.790826572,0.909491152,6.049093631,3.988669798,-4.224061254,-4.760910995,2.683184728,1.234249921,0.399380095,-2.53815983,-0.55718959,-0.254139852,-1.378465957
11,-0.529990514,-1.912813179,-1.240512891,-0.875992757,4.767015505,3.375465477,-4.017104911,-4.013715308,1.442749408,0.752756408,0.05314005,-1.144673125,-0.533532098,-0.407435736,-0.758827773
12,-0.123019635,-0.321315478,0.815746776,0.443070177,4.617594377,-0.423958213,-3.769828954,-3.572106305,-0.797630771,-1.075470668,1.009415664,0.403545463,1.22058691,0.571404637,-0.150749205
13,0.980285664,0.617745916,-0.151598692,0.831540115,4.471812961,-1.002990819,-5.243476698,-4.662204016,-2.044295536,-1.760917307,1.538170487,0.812637036,-0.189962656,1.502837679,0.610831615
14,0.913272911,0.364569569,1.711206134,0.693520508,4.228548605,-0.959734009,-6.407858641,-3.671982326,-2.403973528,0.145688943,2.68386606,-0.347717381,-0.158493006,1.953637506,0.025719522
15,-0.153190099,-0.884953454,-0.785746379,-0.35316138,2.611837607,-0.081916219,-3.811932988,-2.941403472,-0.064462923,-0.857518796,0.710200003,-1.296451727,1.825679251,0.85008905,-0.383679283
16,0.583541637,-2.145284408,1.147057404,0.942663282,1.163660953,0.636588614,-1.094569233,-2.400612735,-0.130332408,-0.25747201,0.168975062,-1.213756561,-2.255137109,0.57878581,-0.799189116
17,0.558245822,-0.942272727,-1.791183464,0.921087045,0.712696521,1.265710127,1.5510108,-3.221556735,-1.082727797,-0.217015515,0.27031851,1.315650467,2.152547403,1.454099274,-0.171734146
18,0.74666603,0.303358444,-0.004209166,0.888109321,1.800797414,1.447855779,2.32896922,-4.221489056,-0.742216641,-0.718499758,1.994342207,1.594137907,-3.987438996,1.202958383,1.54843503
19,-1.196735858,0.30174983,0.512568913,-0.419787535,2.350870222,2.104358022,1.558492534,-2.49086364,-0.34473208,-1.028595059,1.56343734,-1.202195155,3.027745918,-0.503375024,-0.412345204
20,-0.538351775,-2.072069034,0.008591041,1.420081876,3.068585518,1.51653927,0.999041611,-0.87299412,1.56977469,-0.703882807,1.488492425,-1.53296714,-1.291331743,-0.311092985,-0.678389526
21,-0.03981091,-1.377149102,0.986048781,-1.724594462,3.445409655,-0.008830572,-0.528447493,2.556604844,2.541903494,0.73910016,2.273685993,-0.587339184,0.577519418,0.727101399,-0.653058873
22,-0.967112798,0.670081635,-0.263822825,-0.297754487,2.294444581,-0.989296479,-2.100182578,2.678632941,3.005559081,0.980044083,1.6406722,-1.226384914,-1.36118185,0.572184761,0.267422187
23,0.077268104,0.067462034,0.029368465,-0.95520663,1.188870973,-2.617387916,-0.20064571,2.879237397,-0.247547548,0.039775759,1.463664304,-1.687248946,1.815784382,1.907518907,-1.56461075
24,0.941799239,-0.664528574,1.442889603,-0.727950213,0.131236854,-3.336007119,0.723647328,0.950199595,-1.946249993,0.730527036,0.982825635,-0.06209285,-2.262068407,0.826832818,0.348782311
25,-0.429477689,0.650530873,-0.750115691,-1.775408657,-0.562657014,-3.011958426,1.461060437,0.343870497,0.672932327,2.178007049,-0.180037666,0.877808921,2.076739842,0.221511081,-0.498845106
26,0.041880302,0.468594346,-0.187766073,-2.236573134,0.121032038,-2.33321858,1.014276581,0.207030892,0.530645545,0.987233312,0.73954458,2.414846251,-3.398655584,-2.457306402,1.53115211
